sample_id,elapsed_s,raw_stats
11,11,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (7 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 152/149/73/59, dlsch_errors 58, pucch0_DTX 267, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 180120|UE 1234: ulsch_rounds 133/133/84/83, ulsch_DTX 233, ulsch_errors 82, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 153349, ulsch_total_bytes_received 57650|UE 1234: LCID 4: 156 bytes TX|UE 1234: LCID 4: 104 bytes RX|||
12,12,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (8 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 157/155/74/59, dlsch_errors 58, pucch0_DTX 271, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 186045|UE 1234: ulsch_rounds 138/137/85/85, ulsch_DTX 233, ulsch_errors 84, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 159114, ulsch_total_bytes_received 61109|UE 1234: LCID 4: 156 bytes TX|UE 1234: LCID 4: 104 bytes RX|||
13,13,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (10 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 162/160/77/59, dlsch_errors 58, pucch0_DTX 274, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 191970|UE 1234: ulsch_rounds 142/142/87/87, ulsch_DTX 233, ulsch_errors 85, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 163726, ulsch_total_bytes_received 64568|UE 1234: LCID 4: 156 bytes TX|UE 1234: LCID 4: 104 bytes RX||
14,14,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (11 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 168/165/78/59, dlsch_errors 58, pucch0_DTX 276, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 199080|UE 1234: ulsch_rounds 147/147/88/88, ulsch_DTX 233, ulsch_errors 87, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 169491, ulsch_total_bytes_received 69180|UE 1234: LCID 4: 208 bytes TX|UE 1234: LCID 4: 104 bytes RX||
15,15,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (13 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 174/171/79/59, dlsch_errors 58, pucch0_DTX 278, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 206190|UE 1234: ulsch_rounds 152/151/90/90, ulsch_DTX 233, ulsch_errors 89, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 175256, ulsch_total_bytes_received 71486|UE 1234: LCID 4: 208 bytes TX|UE 1234: LCID 4: 104 bytes RX||
16,16,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (14 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 179/176/79/59, dlsch_errors 58, pucch0_DTX 281, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 212115|UE 1234: ulsch_rounds 156/155/91/91, ulsch_DTX 233, ulsch_errors 90, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 179868, ulsch_total_bytes_received 74945|UE 1234: LCID 4: 208 bytes TX|UE 1234: LCID 4: 104 bytes RX||
17,17,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (15 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 182/179/80/59, dlsch_errors 58, pucch0_DTX 282, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 215670|UE 1234: ulsch_rounds 158/158/92/92, ulsch_DTX 233, ulsch_errors 91, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 182174, ulsch_total_bytes_received 77251|UE 1234: LCID 4: 208 bytes TX|UE 1234: LCID 4: 104 bytes RX||
18,18,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP 0 (0 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 187/184/82/59, dlsch_errors 58, pucch0_DTX 286, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 221595|UE 1234: ulsch_rounds 163/163/93/93, ulsch_DTX 233, ulsch_errors 92, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 187939, ulsch_total_bytes_received 80710|UE 1234: LCID 4: 208 bytes TX|UE 1234: LCID 4: 104 bytes RX||X||
19,19,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -45 (2 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 193/190/82/59, dlsch_errors 58, pucch0_DTX 288, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 228705|UE 1234: ulsch_rounds 167/167/95/95, ulsch_DTX 233, ulsch_errors 94, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 192551, ulsch_total_bytes_received 84169|UE 1234: LCID 4: 208 bytes TX|UE 1234: LCID 4: 104 bytes RX|||
20,20,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -45 (4 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 199/196/83/59, dlsch_errors 58, pucch0_DTX 290, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 235815|UE 1234: ulsch_rounds 172/172/97/96, ulsch_DTX 233, ulsch_errors 95, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 198316, ulsch_total_bytes_received 87628|UE 1234: LCID 4: 208 bytes TX|UE 1234: LCID 4: 104 bytes RX|||
