channel_type,mcs,noise_power_dB,trial,dl_first_tx,dl_errors,dl_bler,dl_harq,ul_first_tx,ul_errors,ul_bler
BICTR_LUNAR,15,0,1,28,28,1.000000,28/28/28/28,28,28,1.000000
BICTR_LUNAR,15,0,2,28,28,1.000000,28/28/28/28,28,28,1.000000
BICTR_LUNAR,15,-6,1,29,29,1.000000,29/30/30/29,30,30,1.000000
BICTR_LUNAR,15,-6,2,30,30,1.000000,30/30/29/29,44,9,0.204545
BICTR_LUNAR,15,-12,1,117,0,0.000000,117/0/0/0,73,12,0.164384
BICTR_LUNAR,15,-12,2,36,14,0.388889,36/29/22/18,66,12,0.181818
BICTR_LUNAR,15,-12,3,116,0,0.000000,116/0/0/0,71,10,0.140845
BICTR_LUNAR,15,-12,4,26,25,0.961538,26/26/26/25,26,25,0.961538
BICTR_LUNAR,15,-12,5,27,27,1.000000,27/26/26/27,27,27,1.000000
BICTR_LUNAR,15,-12,6,118,0,0.000000,118/0/0/0,48,11,0.229167
BICTR_LUNAR,15,-12,7,114,0,0.000000,114/0/0/0,72,12,0.166667
BICTR_LUNAR,15,-12,8,49,0,0.000000,49/48/0/0,61,5,0.081967
BICTR_LUNAR,15,-12,9,93,0,0.000000,93/25/0/0,73,0,0.000000
BICTR_LUNAR,15,-12,10,61,0,0.000000,61/57/0/0,73,13,0.178082
