sample_id,elapsed_s,raw_stats
11,11,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (6 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 1147/60/60/59, dlsch_errors 59, pucch0_DTX 237, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 1359195|UE 1234: ulsch_rounds 787/196/196/147, ulsch_DTX 237, ulsch_errors 85, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 894355, ulsch_total_bytes_received 809406|UE 1234: LCID 4: 156 bytes TX|UE 1234: LCID 4: 156 bytes RX|||
12,12,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (14 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 1210/60/60/59, dlsch_errors 59, pucch0_DTX 237, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 1433850|UE 1234: ulsch_rounds 829/204/204/152, ulsch_DTX 237, ulsch_errors 88, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 942013, ulsch_total_bytes_received 854373|UE 1234: LCID 4: 156 bytes TX|UE 1234: LCID 4: 156 bytes RX||
13,13,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (6 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 1273/60/60/59, dlsch_errors 59, pucch0_DTX 237, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 1508505|UE 1234: ulsch_rounds 870/212/212/158, ulsch_DTX 237, ulsch_errors 91, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 988518, ulsch_total_bytes_received 897034|UE 1234: LCID 4: 156 bytes TX|UE 1234: LCID 4: 156 bytes RX|||
14,14,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (14 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 1336/60/60/59, dlsch_errors 59, pucch0_DTX 237, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 1583160|UE 1234: ulsch_rounds 911/220/220/164, ulsch_DTX 237, ulsch_errors 93, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 1035023, ulsch_total_bytes_received 942001|UE 1234: LCID 4: 156 bytes TX|UE 1234: LCID 4: 156 bytes RX||
15,15,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (6 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 1399/60/60/59, dlsch_errors 59, pucch0_DTX 237, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 1657815|UE 1234: ulsch_rounds 956/228/228/166, ulsch_DTX 237, ulsch_errors 93, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 1086140, ulsch_total_bytes_received 993886|UE 1234: LCID 4: 156 bytes TX|UE 1234: LCID 4: 156 bytes RX|||
16,16,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (14 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 1462/60/60/59, dlsch_errors 59, pucch0_DTX 237, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 1732470|UE 1234: ulsch_rounds 1001/236/235/169, ulsch_DTX 237, ulsch_errors 95, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 1137257, ulsch_total_bytes_received 1043465|UE 1234: LCID 4: 208 bytes TX|UE 1234: LCID 4: 156 bytes RX||
17,17,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (6 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 1525/60/60/59, dlsch_errors 59, pucch0_DTX 237, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 1807125|UE 1234: ulsch_rounds 1043/243/243/175, ulsch_DTX 237, ulsch_errors 97, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 1184915, ulsch_total_bytes_received 1089585|UE 1234: LCID 4: 208 bytes TX|UE 1234: LCID 4: 156 bytes RX|||
18,18,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (13 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 1588/60/60/59, dlsch_errors 59, pucch0_DTX 237, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 1881780|UE 1234: ulsch_rounds 1086/251/251/179, ulsch_DTX 237, ulsch_errors 97, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 1233822, ulsch_total_bytes_received 1139164|UE 1234: LCID 4: 208 bytes TX|UE 1234: LCID 4: 156 bytes RX||
19,19,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (4 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 1645/60/60/59, dlsch_errors 59, pucch0_DTX 237, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 1949325|UE 1234: ulsch_rounds 1124/258/258/184, ulsch_DTX 237, ulsch_errors 98, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 1276868, ulsch_total_bytes_received 1181825|UE 1234: LCID 4: 208 bytes TX|UE 1234: LCID 4: 156 bytes RX|||
20,20,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (12 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 1708/60/60/59, dlsch_errors 59, pucch0_DTX 237, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 2023980|UE 1234: ulsch_rounds 1164/266/266/191, ulsch_DTX 237, ulsch_errors 99, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 1322316, ulsch_total_bytes_received 1227945|UE 1234: LCID 4: 208 bytes TX|UE 1234: LCID 4: 156 bytes RX||
