sample_id,elapsed_s,raw_stats
0,0,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (2 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 169/163/162/160, dlsch_errors 157, pucch0_DTX 642, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 200265|UE 1234: ulsch_rounds 164/164/163/163, ulsch_DTX 653, ulsch_errors 163, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 189092, ulsch_total_bytes_received 0|UE 1234: LCID 4: 104 bytes TX|||
1,1,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (13 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 192/187/184/181, dlsch_errors 176, pucch0_DTX 728, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 227520|UE 1234: ulsch_rounds 186/186/186/186, ulsch_DTX 743, ulsch_errors 185, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 214458, ulsch_total_bytes_received 0|UE 1234: LCID 4: 156 bytes TX||
2,2,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (9 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 215/210/207/202, dlsch_errors 197, pucch0_DTX 816, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 254775|UE 1234: ulsch_rounds 209/209/208/208, ulsch_DTX 833, ulsch_errors 208, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 240977, ulsch_total_bytes_received 0|UE 1234: LCID 4: 156 bytes TX|||
3,3,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (4 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 237/232/230/224, dlsch_errors 218, pucch0_DTX 904, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 280845|UE 1234: ulsch_rounds 231/231/231/230, ulsch_DTX 923, ulsch_errors 230, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 266343, ulsch_total_bytes_received 0|UE 1234: LCID 4: 156 bytes TX|||
4,4,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (14 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 258/252/249/243, dlsch_errors 237, pucch0_DTX 981, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 305730|UE 1234: ulsch_rounds 251/251/250/250, ulsch_DTX 1001, ulsch_errors 250, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 289403, ulsch_total_bytes_received 0|UE 1234: LCID 4: 156 bytes TX||
5,5,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (7 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 277/270/267/261, dlsch_errors 255, pucch0_DTX 1053, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 328245|UE 1234: ulsch_rounds 269/269/269/268, ulsch_DTX 1074, ulsch_errors 268, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 310157, ulsch_total_bytes_received 0|UE 1234: LCID 4: 156 bytes TX||
6,6,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (16 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 296/289/285/278, dlsch_errors 272, pucch0_DTX 1125, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 350760|UE 1234: ulsch_rounds 287/287/287/287, ulsch_DTX 1148, ulsch_errors 287, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 330911, ulsch_total_bytes_received 0|UE 1234: LCID 4: 156 bytes TX||
7,7,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (9 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 314/308/304/296, dlsch_errors 289, pucch0_DTX 1197, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 372090|UE 1234: ulsch_rounds 306/306/305/305, ulsch_DTX 1221, ulsch_errors 305, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 352818, ulsch_total_bytes_received 0|UE 1234: LCID 4: 156 bytes TX|||
8,8,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (2 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 333/327/321/314, dlsch_errors 306, pucch0_DTX 1269, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 394605|UE 1234: ulsch_rounds 324/324/324/323, ulsch_DTX 1295, ulsch_errors 323, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 373572, ulsch_total_bytes_received 0|UE 1234: LCID 4: 156 bytes TX|||
9,9,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (4 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 370/362/356/348, dlsch_errors 340, pucch0_DTX 1406, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 438450|UE 1234: ulsch_rounds 359/359/359/359, ulsch_DTX 1435, ulsch_errors 358, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 413927, ulsch_total_bytes_received 0|UE 1234: LCID 4: 156 bytes TX|||
