sample_id,elapsed_s,raw_stats
0,0,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (4 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 113/59/58/58, dlsch_errors 58, pucch0_DTX 233, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 133905|UE 1234: ulsch_rounds 96/64/64/64, ulsch_DTX 232, ulsch_errors 64, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 110016, ulsch_total_bytes_received 35743|UE 1234: LCID 4: 104 bytes TX|UE 1234: LCID 4: 52 bytes RX||
1,1,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (6 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 126/59/58/58, dlsch_errors 58, pucch0_DTX 233, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 149310|UE 1234: ulsch_rounds 103/66/66/66, ulsch_DTX 232, ulsch_errors 66, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 117991, ulsch_total_bytes_received 41508|UE 1234: LCID 4: 104 bytes TX|UE 1234: LCID 4: 52 bytes RX||
2,2,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (8 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 138/59/58/58, dlsch_errors 58, pucch0_DTX 233, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 163530|UE 1234: ulsch_rounds 111/68/67/67, ulsch_DTX 232, ulsch_errors 67, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 127023, ulsch_total_bytes_received 49579|UE 1234: LCID 4: 156 bytes TX|UE 1234: LCID 4: 52 bytes RX||
3,3,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (9 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 151/59/58/58, dlsch_errors 58, pucch0_DTX 233, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 178935|UE 1234: ulsch_rounds 119/69/69/69, ulsch_DTX 232, ulsch_errors 69, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 136151, ulsch_total_bytes_received 56497|UE 1234: LCID 4: 156 bytes TX|UE 1234: LCID 4: 52 bytes RX||
4,4,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (11 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 164/59/58/58, dlsch_errors 58, pucch0_DTX 233, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 194340|UE 1234: ulsch_rounds 126/71/71/71, ulsch_DTX 232, ulsch_errors 70, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 144030, ulsch_total_bytes_received 63415|UE 1234: LCID 4: 156 bytes TX|UE 1234: LCID 4: 52 bytes RX||
5,5,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (12 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 177/59/58/58, dlsch_errors 58, pucch0_DTX 233, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 209745|UE 1234: ulsch_rounds 136/72/72/72, ulsch_DTX 232, ulsch_errors 72, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 155368, ulsch_total_bytes_received 72639|UE 1234: LCID 4: 156 bytes TX|UE 1234: LCID 4: 52 bytes RX||
6,6,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (14 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 189/59/58/58, dlsch_errors 58, pucch0_DTX 233, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 223965|UE 1234: ulsch_rounds 142/74/74/74, ulsch_DTX 232, ulsch_errors 74, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 162190, ulsch_total_bytes_received 78404|UE 1234: LCID 4: 156 bytes TX|UE 1234: LCID 4: 52 bytes RX||
7,7,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (16 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 202/59/58/58, dlsch_errors 58, pucch0_DTX 233, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 239370|UE 1234: ulsch_rounds 151/76/75/75, ulsch_DTX 232, ulsch_errors 75, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 172375, ulsch_total_bytes_received 86475|UE 1234: LCID 4: 156 bytes TX|UE 1234: LCID 4: 52 bytes RX||
8,8,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (1 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 214/59/58/58, dlsch_errors 58, pucch0_DTX 233, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 253590|UE 1234: ulsch_rounds 158/77/77/77, ulsch_DTX 232, ulsch_errors 77, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 180350, ulsch_total_bytes_received 93393|UE 1234: LCID 4: 156 bytes TX|UE 1234: LCID 4: 52 bytes RX|||
9,9,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (3 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 226/60/58/58, dlsch_errors 58, pucch0_DTX 234, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 267810|UE 1234: ulsch_rounds 166/79/79/78, ulsch_DTX 232, ulsch_errors 78, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 189382, ulsch_total_bytes_received 100311|UE 1234: LCID 4: 156 bytes TX|UE 1234: LCID 4: 104 bytes RX||
10,10,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (4 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 239/60/58/58, dlsch_errors 58, pucch0_DTX 234, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 283215|UE 1234: ulsch_rounds 175/80/80/80, ulsch_DTX 232, ulsch_errors 80, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 199663, ulsch_total_bytes_received 108382|UE 1234: LCID 4: 156 bytes TX|UE 1234: LCID 4: 104 bytes RX||
