sample_id,elapsed_s,raw_stats
0,0,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (4 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 113/58/58/58, dlsch_errors 58, pucch0_DTX 231, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 133905|UE 1234: ulsch_rounds 95/64/64/64, ulsch_DTX 231, ulsch_errors 62, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 108959, ulsch_total_bytes_received 36896|UE 1234: LCID 4: 104 bytes TX|UE 1234: LCID 4: 52 bytes RX||
1,1,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (6 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 125/58/58/58, dlsch_errors 58, pucch0_DTX 231, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 148125|UE 1234: ulsch_rounds 101/66/66/66, ulsch_DTX 231, ulsch_errors 63, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 115685, ulsch_total_bytes_received 43814|UE 1234: LCID 4: 104 bytes TX|UE 1234: LCID 4: 52 bytes RX||
2,2,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (7 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 137/58/58/58, dlsch_errors 58, pucch0_DTX 231, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 162345|UE 1234: ulsch_rounds 109/67/67/67, ulsch_DTX 231, ulsch_errors 64, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 124813, ulsch_total_bytes_received 51885|UE 1234: LCID 4: 104 bytes TX|UE 1234: LCID 4: 52 bytes RX||
3,3,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (9 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 149/58/58/58, dlsch_errors 58, pucch0_DTX 231, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 176565|UE 1234: ulsch_rounds 117/69/69/68, ulsch_DTX 231, ulsch_errors 65, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 133845, ulsch_total_bytes_received 58803|UE 1234: LCID 4: 156 bytes TX|UE 1234: LCID 4: 52 bytes RX||
4,4,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (10 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 161/58/58/58, dlsch_errors 58, pucch0_DTX 231, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 190785|UE 1234: ulsch_rounds 126/70/70/69, ulsch_DTX 231, ulsch_errors 66, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 144126, ulsch_total_bytes_received 69180|UE 1234: LCID 4: 156 bytes TX|UE 1234: LCID 4: 52 bytes RX||
5,5,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (12 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 174/58/58/58, dlsch_errors 58, pucch0_DTX 231, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 206190|UE 1234: ulsch_rounds 133/72/72/71, ulsch_DTX 231, ulsch_errors 68, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 152005, ulsch_total_bytes_received 73792|UE 1234: LCID 4: 156 bytes TX|UE 1234: LCID 4: 52 bytes RX||
6,6,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (14 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 186/58/58/58, dlsch_errors 58, pucch0_DTX 231, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 220410|UE 1234: ulsch_rounds 142/73/73/72, ulsch_DTX 231, ulsch_errors 68, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 162190, ulsch_total_bytes_received 84169|UE 1234: LCID 4: 156 bytes TX|UE 1234: LCID 4: 52 bytes RX||
7,7,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (15 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 199/58/58/58, dlsch_errors 58, pucch0_DTX 231, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 235815|UE 1234: ulsch_rounds 149/75/75/74, ulsch_DTX 231, ulsch_errors 70, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 170165, ulsch_total_bytes_received 89934|UE 1234: LCID 4: 156 bytes TX|UE 1234: LCID 4: 104 bytes RX||
8,8,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (1 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 211/58/58/58, dlsch_errors 58, pucch0_DTX 231, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 250035|UE 1234: ulsch_rounds 157/77/76/75, ulsch_DTX 231, ulsch_errors 71, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 179197, ulsch_total_bytes_received 98005|UE 1234: LCID 4: 156 bytes TX|UE 1234: LCID 4: 104 bytes RX|||
9,9,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (2 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 224/58/58/58, dlsch_errors 58, pucch0_DTX 231, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 265440|UE 1234: ulsch_rounds 166/78/78/76, ulsch_DTX 231, ulsch_errors 72, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 189478, ulsch_total_bytes_received 107229|UE 1234: LCID 4: 156 bytes TX|UE 1234: LCID 4: 104 bytes RX||
10,10,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (3 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 232/58/58/58, dlsch_errors 58, pucch0_DTX 231, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 274920|UE 1234: ulsch_rounds 171/79/79/77, ulsch_DTX 231, ulsch_errors 73, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 195147, ulsch_total_bytes_received 111841|UE 1234: LCID 4: 156 bytes TX|UE 1234: LCID 4: 104 bytes RX||
