sample_id,elapsed_s,raw_stats
40,40,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -115 (10 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 180/180/180/180, dlsch_errors 180, pucch0_DTX 720, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 213300|UE 1234: ulsch_rounds 180/180/180/180, ulsch_DTX 719, ulsch_errors 179, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 207540, ulsch_total_bytes_received 0|UE 1234: LCID 4: 208 bytes TX||
41,41,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -112 (12 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 183/183/182/182, dlsch_errors 182, pucch0_DTX 730, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 216855|UE 1234: ulsch_rounds 183/183/182/182, ulsch_DTX 730, ulsch_errors 182, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 210999, ulsch_total_bytes_received 0|UE 1234: LCID 4: 208 bytes TX||
42,42,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -107 (13 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 185/184/184/184, dlsch_errors 184, pucch0_DTX 736, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 219225|UE 1234: ulsch_rounds 185/184/184/184, ulsch_DTX 736, ulsch_errors 184, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 213305, ulsch_total_bytes_received 0|UE 1234: LCID 4: 208 bytes TX||
43,43,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -104 (14 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 187/187/187/187, dlsch_errors 186, pucch0_DTX 747, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 221595|UE 1234: ulsch_rounds 187/187/187/187, ulsch_DTX 747, ulsch_errors 186, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 215611, ulsch_total_bytes_received 0|UE 1234: LCID 4: 208 bytes TX||
44,44,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -103 (15 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 190/190/190/189, dlsch_errors 189, pucch0_DTX 758, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 225150|UE 1234: ulsch_rounds 190/190/189/189, ulsch_DTX 758, ulsch_errors 189, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 219070, ulsch_total_bytes_received 0|UE 1234: LCID 4: 208 bytes TX||
45,45,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -110 (1 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 193/192/192/192, dlsch_errors 192, pucch0_DTX 768, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 228705|UE 1234: ulsch_rounds 193/192/192/192, ulsch_DTX 768, ulsch_errors 192, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 222529, ulsch_total_bytes_received 0|UE 1234: LCID 4: 208 bytes TX|||
46,46,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -102 (2 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 195/195/195/194, dlsch_errors 194, pucch0_DTX 779, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 231075|UE 1234: ulsch_rounds 195/195/195/194, ulsch_DTX 779, ulsch_errors 194, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 224835, ulsch_total_bytes_received 0|UE 1234: LCID 4: 208 bytes TX|||
47,47,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -115 (3 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 198/198/197/197, dlsch_errors 197, pucch0_DTX 789, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 234630|UE 1234: ulsch_rounds 198/198/197/197, ulsch_DTX 789, ulsch_errors 197, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 228294, ulsch_total_bytes_received 0|UE 1234: LCID 4: 208 bytes TX|||
48,48,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -125 (5 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 200/200/200/200, dlsch_errors 200, pucch0_DTX 800, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 237000|UE 1234: ulsch_rounds 200/200/200/200, ulsch_DTX 800, ulsch_errors 200, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 230600, ulsch_total_bytes_received 0|UE 1234: LCID 4: 208 bytes TX|||
49,49,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -117 (6 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 203/203/202/202, dlsch_errors 202, pucch0_DTX 810, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 240555|UE 1234: ulsch_rounds 203/203/202/202, ulsch_DTX 810, ulsch_errors 202, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 234059, ulsch_total_bytes_received 0|UE 1234: LCID 4: 208 bytes TX|||
