channel_type,mcs,noise_power_dB,trial,dl_first_tx,dl_errors,dl_bler,dl_harq,ul_first_tx,ul_errors,ul_bler
BICTR_LUNAR,9,4,1,62,62,1.000000,62/62/62/62,62,62,1.000000
BICTR_LUNAR,9,4,2,52,52,1.000000,52/52/53/52,52,52,1.000000
BICTR_LUNAR,9,2,1,93,94,1.010753,93/93/93/93,93,94,1.010753
BICTR_LUNAR,9,2,2,44,43,0.977273,44/44/44/43,44,44,1.000000
BICTR_LUNAR,9,2,3,52,52,1.000000,52/52/52/52,52,52,1.000000
BICTR_LUNAR,9,2,4,52,52,1.000000,52/52/53/52,52,52,1.000000
BICTR_LUNAR,9,2,5,52,52,1.000000,52/51/52/52,52,52,1.000000
BICTR_LUNAR,9,0,1,49,49,1.000000,49/48/48/48,49,49,1.000000
BICTR_LUNAR,9,0,2,56,55,0.982143,56/57/57/56,56,56,1.000000
BICTR_LUNAR,9,0,3,55,55,1.000000,55/55/55/55,55,55,1.000000
BICTR_LUNAR,9,0,4,56,56,1.000000,56/57/56/56,56,56,1.000000
BICTR_LUNAR,9,0,5,52,52,1.000000,52/52/52/52,52,52,1.000000
