sample_id,elapsed_s,raw_stats
0,0,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (11 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 420/60/60/59, dlsch_errors 59, pucch0_DTX 237, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 497700|UE 1234: ulsch_rounds 303/105/105/86, ulsch_DTX 237, ulsch_errors 70, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 345039, ulsch_total_bytes_received 267496|UE 1234: LCID 4: 104 bytes TX|UE 1234: LCID 4: 104 bytes RX||
1,1,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (4 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 486/60/60/59, dlsch_errors 59, pucch0_DTX 237, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 575910|UE 1234: ulsch_rounds 346/114/113/92, ulsch_DTX 237, ulsch_errors 73, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 393754, ulsch_total_bytes_received 313616|UE 1234: LCID 4: 104 bytes TX|UE 1234: LCID 4: 104 bytes RX|||
2,2,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (11 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 544/60/60/59, dlsch_errors 59, pucch0_DTX 237, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 644640|UE 1234: ulsch_rounds 384/121/121/97, ulsch_DTX 237, ulsch_errors 73, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 436896, ulsch_total_bytes_received 357430|UE 1234: LCID 4: 104 bytes TX|UE 1234: LCID 4: 104 bytes RX||
3,3,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (2 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 603/60/60/59, dlsch_errors 59, pucch0_DTX 237, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 714555|UE 1234: ulsch_rounds 425/128/128/101, ulsch_DTX 237, ulsch_errors 76, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 483497, ulsch_total_bytes_received 401244|UE 1234: LCID 4: 156 bytes TX|UE 1234: LCID 4: 104 bytes RX||
4,4,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (10 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 663/60/60/59, dlsch_errors 59, pucch0_DTX 237, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 785655|UE 1234: ulsch_rounds 464/136/136/106, ulsch_DTX 237, ulsch_errors 77, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 527696, ulsch_total_bytes_received 445058|UE 1234: LCID 4: 156 bytes TX|UE 1234: LCID 4: 104 bytes RX||
5,5,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (1 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 722/60/60/59, dlsch_errors 59, pucch0_DTX 237, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 855570|UE 1234: ulsch_rounds 504/143/143/111, ulsch_DTX 237, ulsch_errors 79, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 573144, ulsch_total_bytes_received 490025|UE 1234: LCID 4: 156 bytes TX|UE 1234: LCID 4: 104 bytes RX|||
6,6,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (9 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 782/60/60/59, dlsch_errors 59, pucch0_DTX 237, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 926670|UE 1234: ulsch_rounds 545/151/150/115, ulsch_DTX 237, ulsch_errors 79, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 619649, ulsch_total_bytes_received 536145|UE 1234: LCID 4: 156 bytes TX|UE 1234: LCID 4: 104 bytes RX|||
7,7,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (16 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 843/60/60/59, dlsch_errors 59, pucch0_DTX 237, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 998955|UE 1234: ulsch_rounds 583/158/158/122, ulsch_DTX 237, ulsch_errors 83, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 662791, ulsch_total_bytes_received 576500|UE 1234: LCID 4: 156 bytes TX|UE 1234: LCID 4: 156 bytes RX||
8,8,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (15 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 960/60/60/59, dlsch_errors 59, pucch0_DTX 237, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 1137600|UE 1234: ulsch_rounds 660/173/173/133, ulsch_DTX 237, ulsch_errors 87, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 750132, ulsch_total_bytes_received 660669|UE 1234: LCID 4: 156 bytes TX|UE 1234: LCID 4: 156 bytes RX||
9,9,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (6 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 1016/60/60/59, dlsch_errors 59, pucch0_DTX 237, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 1203960|UE 1234: ulsch_rounds 698/180/180/137, ulsch_DTX 237, ulsch_errors 89, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 793274, ulsch_total_bytes_received 702177|UE 1234: LCID 4: 156 bytes TX|UE 1234: LCID 4: 156 bytes RX||
10,10,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (13 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 1076/60/60/59, dlsch_errors 59, pucch0_DTX 237, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 1275060|UE 1234: ulsch_rounds 738/187/187/143, ulsch_DTX 237, ulsch_errors 91, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 838722, ulsch_total_bytes_received 745991|UE 1234: LCID 4: 156 bytes TX|UE 1234: LCID 4: 156 bytes RX||
11,11,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (5 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 1137/60/60/59, dlsch_errors 59, pucch0_DTX 237, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 1347345|UE 1234: ulsch_rounds 777/195/195/149, ulsch_DTX 237, ulsch_errors 91, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 882921, ulsch_total_bytes_received 790958|UE 1234: LCID 4: 156 bytes TX|UE 1234: LCID 4: 156 bytes RX|||
12,12,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (13 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 1199/60/60/59, dlsch_errors 59, pucch0_DTX 237, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 1420815|UE 1234: ulsch_rounds 818/203/203/154, ulsch_DTX 237, ulsch_errors 94, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 929426, ulsch_total_bytes_received 833619|UE 1234: LCID 4: 156 bytes TX|UE 1234: LCID 4: 156 bytes RX||
13,13,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (4 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 1261/60/60/59, dlsch_errors 59, pucch0_DTX 237, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 1494285|UE 1234: ulsch_rounds 863/210/210/157, ulsch_DTX 237, ulsch_errors 96, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 980543, ulsch_total_bytes_received 883198|UE 1234: LCID 4: 156 bytes TX|UE 1234: LCID 4: 156 bytes RX|||
14,14,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (12 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 1323/60/60/59, dlsch_errors 59, pucch0_DTX 237, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 1567755|UE 1234: ulsch_rounds 904/218/218/162, ulsch_DTX 237, ulsch_errors 97, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 1027144, ulsch_total_bytes_received 929318|UE 1234: LCID 4: 156 bytes TX|UE 1234: LCID 4: 156 bytes RX||
15,15,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (4 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 1385/60/60/59, dlsch_errors 59, pucch0_DTX 237, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 1641225|UE 1234: ulsch_rounds 943/226/226/169, ulsch_DTX 237, ulsch_errors 100, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 1071343, ulsch_total_bytes_received 970826|UE 1234: LCID 4: 156 bytes TX|UE 1234: LCID 4: 156 bytes RX||
