channel_type,mcs,noise_power_dB,trial,dl_first_tx,dl_errors,dl_bler,dl_harq,ul_first_tx,ul_errors,ul_bler
BICTR_LUNAR,15,-4,15,37,0,0.000000,37/37/2/2,20,20,1.000000
BICTR_LUNAR,15,-8,1,31,30,0.967742,31/31/31/30,46,9,0.195652
BICTR_LUNAR,15,-8,2,53,0,0.000000,53/53/5/0,41,14,0.341463
BICTR_LUNAR,15,-8,3,62,1,0.016129,62/36/15/4,72,14,0.194444
BICTR_LUNAR,15,-8,4,29,30,1.034483,29/29/29/29,32,26,0.812500
BICTR_LUNAR,15,-8,5,116,0,0.000000,116/0/0/0,44,3,0.068182
BICTR_LUNAR,15,-8,6,58,0,0.000000,58/58/0/0,44,0,0.000000
BICTR_LUNAR,15,-8,7,117,0,0.000000,117/1/0/0,46,7,0.152174
BICTR_LUNAR,15,-8,8,117,0,0.000000,117/1/0/0,62,10,0.161290
BICTR_LUNAR,15,-8,9,30,30,1.000000,30/29/29/29,44,15,0.340909
BICTR_LUNAR,15,-8,10,30,30,1.000000,30/30/30/30,45,5,0.111111
BICTR_LUNAR,15,-8,11,30,30,1.000000,30/30/29/29,50,12,0.240000
BICTR_LUNAR,15,-8,12,117,0,0.000000,117/0/0/0,44,15,0.340909
BICTR_LUNAR,15,-8,13,120,0,0.000000,120/0/0/0,64,8,0.125000
BICTR_LUNAR,15,-8,14,25,26,1.040000,25/26/26/26,25,26,1.040000
BICTR_LUNAR,15,-8,15,23,22,0.956522,23/22/22/22,23,22,0.956522
BICTR_LUNAR,15,-12,1,121,0,0.000000,121/0/0/0,75,9,0.120000
BICTR_LUNAR,15,-12,2,61,0,0.000000,61/50/7/0,76,11,0.144737
BICTR_LUNAR,21,0,1,29,29,1.000000,29/30/30/30,29,29,1.000000
BICTR_LUNAR,21,0,2,29,28,0.965517,29/29/29/29,29,28,0.965517
BICTR_LUNAR,21,0,3,112,112,1.000000,112/112/112/112,112,112,1.000000
BICTR_LUNAR,21,0,4,32,31,0.968750,32/31/31/31,32,32,1.000000
BICTR_LUNAR,21,0,5,26,26,1.000000,26/26/26/26,26,26,1.000000
BICTR_LUNAR,21,0,6,26,26,1.000000,26/27/26/26,26,26,1.000000
BICTR_LUNAR,21,0,7,29,29,1.000000,29/30/30/30,29,29,1.000000
BICTR_LUNAR,21,0,8,26,26,1.000000,26/25/26/26,26,26,1.000000
BICTR_LUNAR,21,0,9,30,30,1.000000,30/30/29/29,30,30,1.000000
BICTR_LUNAR,21,0,10,26,26,1.000000,26/26/25/26,26,26,1.000000
BICTR_LUNAR,21,0,11,30,30,1.000000,30/30/29/29,30,30,1.000000
BICTR_LUNAR,21,0,12,30,29,0.966667,30/30/29/29,30,29,0.966667
BICTR_LUNAR,21,0,13,29,29,1.000000,29/30/30/29,29,29,1.000000
BICTR_LUNAR,21,0,14,30,30,1.000000,30/30/30/29,30,30,1.000000
BICTR_LUNAR,21,0,15,29,28,0.965517,29/29/28/28,29,28,0.965517
BICTR_LUNAR,21,-4,1,26,26,1.000000,26/26/26/26,26,26,1.000000
BICTR_LUNAR,21,-4,2,30,30,1.000000,30/30/29/29,30,30,1.000000
BICTR_LUNAR,21,-8,1,29,29,1.000000,29/29/30/30,45,15,0.333333
BICTR_LUNAR,21,-8,2,30,29,0.966667,30/30/30/29,45,5,0.111111
BICTR_LUNAR,21,-8,3,26,26,1.000000,26/26/27/27,26,26,1.000000
BICTR_LUNAR,21,-8,4,50,3,0.060000,50/50/13/4,44,8,0.181818
BICTR_LUNAR,21,-8,5,116,0,0.000000,116/2/0/0,45,6,0.133333
BICTR_LUNAR,21,-8,6,59,0,0.000000,59/59/0/0,44,1,0.022727
BICTR_LUNAR,21,-8,7,26,25,0.961538,26/26/27/25,26,26,1.000000
BICTR_LUNAR,21,-8,8,31,26,0.838710,31/30/28/27,44,5,0.113636
BICTR_LUNAR,21,-8,9,51,0,0.000000,51/51/13/2,44,13,0.295455
BICTR_LUNAR,21,-8,10,30,30,1.000000,30/30/30/29,45,5,0.111111
BICTR_LUNAR,21,-8,11,132,0,0.000000,132/0/0/0,50,15,0.300000
BICTR_LUNAR,21,-8,12,31,29,0.935484,31/31/29/28,45,1,0.022222
BICTR_LUNAR,21,-8,13,29,28,0.965517,29/28/27/27,42,6,0.142857
BICTR_LUNAR,21,-8,14,35,24,0.685714,35/31/28/27,45,3,0.066667
BICTR_LUNAR,21,-8,15,44,12,0.272727,44/37/27/17,47,15,0.319149
BICTR_LUNAR,21,-12,1,36,22,0.611111,36/26/25/23,51,19,0.372549
BICTR_LUNAR,21,-12,2,116,0,0.000000,116/0/0/0,72,11,0.152778
BICTR_LUNAR,21,-12,3,26,26,1.000000,26/26/26/26,26,26,1.000000
BICTR_LUNAR,21,-12,4,25,25,1.000000,25/25/25/25,25,25,1.000000
BICTR_LUNAR,21,-12,5,63,0,0.000000,63/41/0/0,67,5,0.074627
BICTR_LUNAR,21,-12,6,119,0,0.000000,119/0/0/0,77,7,0.090909
BICTR_LUNAR,21,-12,7,53,0,0.000000,53/37/0/0,56,12,0.214286
BICTR_LUNAR,21,-12,8,25,25,1.000000,25/25/25/25,25,25,1.000000
BICTR_LUNAR,21,-12,9,67,0,0.000000,67/44/0/0,69,14,0.202899
BICTR_LUNAR,21,-12,10,57,0,0.000000,57/56/0/0,70,10,0.142857
BICTR_LUNAR,21,-12,11,59,0,0.000000,59/59/0/0,74,15,0.202703
BICTR_LUNAR,21,-12,12,45,7,0.155556,45/35/19/11,70,14,0.200000
BICTR_LUNAR,21,-12,13,81,0,0.000000,81/3/0/0,53,10,0.188679
BICTR_LUNAR,21,-12,14,111,0,0.000000,111/0/0/0,70,0,0.000000
BICTR_LUNAR,21,-12,15,112,0,0.000000,112/0/0/0,70,7,0.100000
