channel_type,mcs,noise_power_dB,trial,dl_first_tx,dl_errors,dl_bler,dl_harq,ul_first_tx,ul_errors,ul_bler
BICTR_LUNAR,9,0,1,31,31,1.000000,31/32/32/31,31,31,1.000000
BICTR_LUNAR,9,0,2,26,27,1.038462,26/26/26/27,26,26,1.000000
BICTR_LUNAR,9,-4,1,29,30,1.034483,29/29/29/29,29,30,1.034483
BICTR_LUNAR,9,-4,2,30,27,0.900000,30/29/30/28,29,29,1.000000
BICTR_LUNAR,9,-4,3,26,26,1.000000,26/27/27/26,26,26,1.000000
BICTR_LUNAR,9,-4,4,29,29,1.000000,29/29/30/29,29,29,1.000000
BICTR_LUNAR,9,-4,5,26,26,1.000000,26/26/26/26,26,26,1.000000
BICTR_LUNAR,9,-4,6,29,29,1.000000,29/29/30/29,30,29,0.966667
BICTR_LUNAR,9,-4,7,28,23,0.821429,28/28/26/25,27,27,1.000000
BICTR_LUNAR,9,-4,8,30,30,1.000000,30/30/29/30,30,30,1.000000
BICTR_LUNAR,9,-4,9,31,30,0.967742,31/31/31/31,31,31,1.000000
BICTR_LUNAR,9,-4,10,29,29,1.000000,29/30/30/29,29,29,1.000000
BICTR_LUNAR,9,-4,11,30,30,1.000000,30/30/29/29,30,30,1.000000
BICTR_LUNAR,9,-4,12,30,30,1.000000,30/29/29/29,30,30,1.000000
BICTR_LUNAR,9,-4,13,25,25,1.000000,25/25/26/26,25,25,1.000000
BICTR_LUNAR,9,-4,14,29,29,1.000000,29/30/30/30,30,29,0.966667
BICTR_LUNAR,9,-4,15,33,20,0.606061,33/33/30/24,30,30,1.000000
BICTR_LUNAR,9,-8,1,30,30,1.000000,30/30/30/29,30,29,0.966667
BICTR_LUNAR,9,-8,2,30,30,1.000000,30/30/30/30,55,8,0.145455
BICTR_LUNAR,9,-12,1,121,0,0.000000,121/0/0/0,75,15,0.200000
BICTR_LUNAR,9,-12,2,29,16,0.551724,29/25/22/18,59,11,0.186441
BICTR_LUNAR,9,-12,3,43,0,0.000000,43/38/0/0,54,7,0.129630
BICTR_LUNAR,9,-12,4,47,10,0.212766,47/34/26/15,75,15,0.200000
BICTR_LUNAR,9,-12,5,38,10,0.263158,38/37/26/16,72,15,0.208333
BICTR_LUNAR,9,-12,6,119,0,0.000000,119/0/0/0,74,14,0.189189
BICTR_LUNAR,9,-12,7,52,0,0.000000,52/48/0/0,65,8,0.123077
BICTR_LUNAR,9,-12,8,23,11,0.478261,23/20/14/11,21,15,0.714286
BICTR_LUNAR,9,-12,9,62,0,0.000000,62/62/0/0,76,0,0.000000
BICTR_LUNAR,9,-12,10,124,0,0.000000,124/0/0/0,78,14,0.179487
BICTR_LUNAR,9,-12,11,117,0,0.000000,117/0/0/0,74,11,0.148649
BICTR_LUNAR,9,-12,12,38,21,0.552632,38/30/25/23,63,14,0.222222
BICTR_LUNAR,9,-12,13,119,0,0.000000,119/0/0/0,73,15,0.205479
BICTR_LUNAR,9,-12,14,63,0,0.000000,63/63/0/0,80,16,0.200000
BICTR_LUNAR,9,-12,15,26,26,1.000000,26/27/26/26,26,26,1.000000
BICTR_LUNAR,15,0,1,26,26,1.000000,26/26/27/26,26,26,1.000000
BICTR_LUNAR,15,0,2,26,26,1.000000,26/26/26/26,26,26,1.000000
BICTR_LUNAR,15,-4,1,30,30,1.000000,30/30/30/29,30,30,1.000000
BICTR_LUNAR,15,-4,2,30,29,0.966667,30/30/30/29,30,29,0.966667
BICTR_LUNAR,15,-4,3,30,30,1.000000,30/29/30/30,30,30,1.000000
BICTR_LUNAR,15,-4,4,27,27,1.000000,27/26/27/27,27,27,1.000000
BICTR_LUNAR,15,-4,5,30,30,1.000000,30/29/29/29,30,30,1.000000
BICTR_LUNAR,15,-4,6,55,0,0.000000,55/55/1/0,28,27,0.964286
BICTR_LUNAR,15,-4,7,26,27,1.038462,26/26/26/26,26,27,1.038462
BICTR_LUNAR,15,-4,8,30,29,0.966667,30/30/30/29,30,29,0.966667
BICTR_LUNAR,15,-4,9,29,29,1.000000,29/28/28/28,29,29,1.000000
BICTR_LUNAR,15,-4,10,26,25,0.961538,26/26/26/25,26,25,0.961538
BICTR_LUNAR,15,-4,11,30,30,1.000000,30/29/30/30,30,30,1.000000
BICTR_LUNAR,15,-4,12,30,30,1.000000,30/30/29/29,30,30,1.000000
BICTR_LUNAR,15,-4,13,31,26,0.838710,31/30/29/28,30,30,1.000000
BICTR_LUNAR,15,-4,14,26,27,1.038462,26/26/26/26,26,27,1.038462
